ʵ�����,���,ʵ������,����ͼFID,��ǩͼFID,Ԥѵ�����,��ʽѵ�����,����ʱ��,PSNR,SSIM,EMD,NRMS,ROC,PRC,��ע
SegmTransformer,41,Mon Jul 31 23:47:02 2023,0,0,50000,50000,5h 38min 16.106268405914307second,27.07543048973728,0.774439656695318,0.0029011453524250747,0.049644501050034866,0.7307501006836815,0.7641111783182745,"CircuitNet-28数据集，tiny模型，epoch=100，不加载预训练模型,lr=0.0001"
SegmTransformer,41,Tue Aug  1 16:03:54 2023,0,0,50000,50000,None,27.6100646116354,0.7841963592589059,0.0025245269240079123,0.047026543356373754,0.7135158997406104,0.7721911198709261,CircuitNet-28数据集，tiny模型，epoch=100，不加载预训练模型，测试epoch80
SegmTransformer,41,Tue Aug  1 23:13:45 2023,0,0,50000,50000,None,27.618517209948845,0.7836748010666204,0.0024662502345484216,0.04661411309517549,0.7545074123518838,0.7952065377371107,CircuitNet-28数集，tiny模型，epoch=100，不加载预训练模型，测试epoch20
SegmTransformer,42,Tue Aug  1 16:58:44 2023,0,0,50000,50000,1h 11min 43.18813180923462second,27.559145820284055,0.7888267368418868,0.0026063116552254044,0.04702031384914709,0.7350434577455697,0.7336303934813131,CircuitNet-28数据集，tiny模型，epoch=80，加载生成数据模型，第二次实验
SegmTransformer,43,Tue Aug  1 17:10:05 2023,0,0,50000,50000,0h 52min 26.830028533935547second,27.10055493733434,0.7708285434113514,0.0021436323709644652,0.049354532797233945,0.731928626518081,6.760593229173154,CircuitNet-28数据集，tiny模型，epoch=80，不加载生成数据
SegmTransformer,43,Tue Aug  1 19:30:51 2023,0,0,50000,50000,None,27.655984797515103,0.7880865676150584,0.002367491705529156,0.04642865072647986,0.7467625270335896,0.865413485560721,CircuitNet-28数集，tiny模型，epoch=80，不加载生成数据，测试70epoch
SegmTransformer,44,Tue Aug  1 19:29:35 2023,0,0,50000,50000,1h 22min 19.009408950805664second,26.585676044271345,0.7542393248974418,0.003313429323972854,0.053429687806408666,0.6559175302909165,0.4334367329022045,CircuitNet-28数据集，tiny模型，epoch=80，加载生成数据模型，第三次实验
SegmTransformer,44,Tue Aug  1 21:41:34 2023,0,0,50000,50000,None,27.56587929823825,0.7842637306421881,0.003105032534424484,0.04699226829265408,0.7347973527130831,0.7779868315513978,CircuitNet-28数据集，tiny模型，epoch=80，加载生成数据模型，第三次实验，测20epoch
SegmTransformer,45,Tue Aug  1 20:45:36 2023,0,0,50000,50000,1h 27min 56.196316719055176second,27.618452299122083,0.7857682234484505,0.0024677258074358955,0.046521216079765615,0.7344055599401556,0.7688733301692378,CircuitNet-28数集，tiny模型，epoch=80，不加载生成数据第二次实验
SegmTransformer,46,Wed Aug  2 00:55:47 2023,0,0,50000,50000,0h 51min 46.28405046463013second,27.346272327133228,0.7868649035879854,0.0026746924246005555,0.047856923360454856,0.7250617072069394,1.895389880272617,CircuitNet-28数据集，tiny模型，加载生成数据模型，batchsize=16，epoch=80
SegmTransformer,47,Wed Aug  2 00:57:01 2023,0,0,50000,50000,0h 55min 32.65319776535034second,26.315787714397203,0.7652349438985735,0.0028982365176590296,0.05355703622071176,0.7009728899305812,0.9210331648901449,CircuitNet-28数集，tiny模型，epoch=80，不加载预训练模型，batchsize=16
SegmTransformer,46,Wed Aug  2 14:49:23 2023,0,0,50000,50000,None,27.493633606987032,0.7829300932969449,0.002996086207714153,0.046908122928260715,0.713256059718171,0.7604180812869165,CircuitNet-28数据集，tiny模型，加载生成数据模型，batchsize=16，epoch=80，测试20epoch
SegmTransformer,46,Wed Aug  2 15:14:28 2023,0,0,50000,50000,None,27.305958931076617,0.7766418469577354,0.0030974086783779257,0.04854128475113887,0.6996731069705009,0.7546506869155316,CircuitNet-28数据集，tiny模型，加载生成数据模型，batchsize=16，epoch=80，测试70epoch
SegmTransformer,47,Wed Aug  2 15:27:57 2023,0,0,50000,50000,None,27.610354051561973,0.7825751935120985,0.0025437265144738776,0.046726695299443,0.7482103475426211,0.691535336684773,CircuitNet-28数集，tiny模型，epoch=80，不加载预训练模型，batchsize=16，测试20epoch
SegmTransformer,46,Wed Aug  2 15:43:17 2023,0,0,50000,50000,None,27.371103782909508,0.7873837735917677,0.0027064986234971154,0.04771728396733752,0.724993981200007,0.7603739353583794,CircuitNet-28数据集，tiny模型，加载生成数据模型，batchsize=16，epoch=80，测试80epoch
SegmTransformer,42,Wed Aug  2 18:30:13 2023,0,0,50000,50000,None,27.52055061255443,0.7887929310932419,0.0027060614599741517,0.04713456347144498,0.7381189743583036,0.5681734224215107,CircuitNet-28数集，tiny模型，epoch=80，加载生成数据预训练模型，测试20epoch
SegmTransformer,43,Wed Aug  2 18:52:11 2023,0,0,50000,50000,None,27.517331920672095,0.7792860209878276,0.002388325262009419,0.047325871855131985,0.7559944003911252,0.8041297103961835,CircuitNet-28数据集，tiny模型，不加载生成数据模型，epoch=80，测试20epoch
SegmTransformer,45,Wed Aug  2 19:42:50 2023,0,0,50000,50000,None,27.545757353591494,0.7794683900612979,0.002892289089342737,0.04721064411887597,0.7462185997977907,0.7630026393824157,CircuitNet-28数据集，tiny模型，不加载生成数据模型，epoch=80，测试20epoch
SegmTransformer,42,Wed Aug  2 19:44:21 2023,0,0,50000,50000,None,27.51805108989804,0.7888561143523231,0.0027078087200256423,0.047125397307760906,0.739149673655797,0.7569078671787265,CircuitNet-28数集，tiny模型，epoch=80，加载生成数据预训练模型，测试20epoch
SegmTransformer,48,Wed Aug  2 21:05:52 2023,0,0,50000,50000,0h 10min 28.16277527809143second,27.565445941581604,0.781674014720775,0.0029972948030334355,0.04699038390204144,0.7436557088929514,0.8471684759911017,CircuitNet-28数集，tiny模型，epoch=20，加载生成数据预训练模型
SegmTransformer,49,Wed Aug  2 21:07:15 2023,0,0,50000,50000,0h 13min 33.65504050254822second,27.671562169130574,0.7844768077493949,0.0024300048836564596,0.04641929003314752,0.7465885836492951,0.7509414029000737,CircuitNet-28数据集，tiny模型，加载生成数据模型，epoch=20
SegmTransformer,50,Wed Aug  2 22:13:05 2023,0,0,50000,50000,0h 10min 19.978468656539917second,27.482773417444587,0.7821976941637242,0.0030993008809505613,0.04738418886648969,0.7325370491113247,0.7516814617469046,CircuitNet-28数据集，tiny模型，加载生成数据模型，epoch=20
SegmTransformer,51,Wed Aug  2 22:18:30 2023,0,0,50000,50000,0h 12min 49.35827016830444second,27.632545943363745,0.783088409226903,0.0025852252499644285,0.046678988393246905,0.7527691910646527,0.7530688659953579,CircuitNet-28数集，tiny模型，epoch=20，加载生成数据预训练模型
SegmTransformer,52,Wed Aug  2 23:37:37 2023,0,0,50000,50000,0h 10min 26.007686853408813second,27.76846084113619,0.7875802537131413,0.0025613081138745873,0.04587736181044404,0.7441935513049993,0.7697198952052259,CircuitNet-28数集，tiny模型，epoch=20，加载生成数据预训练模型
SegmTransformer,54,Thu Aug  3 17:56:53 2023,0,0,50000,50000,0h 5min 36.334423303604126second,27.2141457605234,0.7862760796552919,0.002401960935966405,0.048537121560711875,0.7455196503682305,1.039253847778686,CircuitNet-28数集，tiny模型，epoch=20，加载生成数据预训练模型
SegmTransformer,54,Thu Aug  3 23:32:32 2023,0,0,50000,50000,None,27.20377140979028,0.7862044091794821,0.002392854461477017,0.04855676987883754,0.7442486402677043,0.6730479968326858,CircuitNet-28数集，tiny模型，epoch=20，加载生成数据预训练模型
SegmTransformer,53,Thu Aug  3 14:23:48 2023,0,0,50000,50000,14h 32min 8.932875394821167second,27.17027765090517,0.7855494697979494,0.0027006350636632945,0.04893239322222129,0.7276353368362273,0.7691435507940512,CircuitNet-28数据集，tiny模型，加载生成数据模型，epoch=100，记录每epoch的数据
SegmTransformer,56,Mon Aug  7 13:49:52 2023,0,0,50000,50000,0h 7min 22.712231159210205second,27.705936837185423,0.7871847744615963,0.0025710451090531763,0.04618112182030501,0.7543436102037543,0.7701762449007229,CircuitNet-28数集，tinyeh=20，加载生成数据预训练模型
SegmTransformer,55,Mon Aug  7 13:48:50 2023,174.35532454758146,177.75120025428413,50000,50000,1h 40min 29.247010469436646second,25.467035835316867,0.7573764597107797,0.005459164359928232,0.05603254662022559,0.6230200403299839,0.6790621055665939,CircuitNet-28数集，tiny模型，epoch=20，训练生成数据预训练模型
SegmTransformer,57,Mon Aug  7 15:41:51 2023,0,0,50000,50000,0h 5min 2.9537923336029053second,27.340225485982035,0.7749668218790162,0.0029211524313530034,0.04834515753087076,0.7445572168253021,0.7305505862855087,CircuitNet-28数集，tiny20，不加载生成数据预训练模型
SegmTransformer,59,Mon Aug  7 20:47:43 2023,0,0,50000,50000,0h 5min 36.37246227264404second,27.718094230193902,0.785907125482878,0.0026235384148381906,0.0459236791613109,0.7362627677467795,0.7814846058619033,CircuitNet-28数集，tinyeh=20，加载生成数据预训练模型，fake2
SegmTransformer,58,Mon Aug  7 21:05:02 2023,0,0,50000,50000,0h 5min 29.457127571105957second,27.41027409157763,0.7767530342351946,0.0023367569961981888,0.04796825157390724,0.753203196218917,0.7833844956792352,CircuitNet-28数集，tiny20，不加载生成数据预训练模型
SegmTransformer,60,Tue Aug  8 18:11:01 2023,174.34600427530063,177.75803812417723,50000,50000,0h 10min 15.014202356338501second,25.702632955970934,0.7633545363786741,0.0054874812381156025,0.05472912960337925,0.6438836136650834,0.7014359440217842,CircuitNet-28数集，tiny模型，epoch=20，训练生成数据预训练模型，扩充2倍
SegmTransformer,61,Tue Aug 15 18:02:46 2023,0,0,50000,50000,0h 4min 52.00625777244568second,27.66151728834312,0.7872268542489378,0.002569994454739519,0.046334982102294725,0.7495092635501781,0.8027240800051566,CircuitNet-28数集，tinyeh=20，加载生成数据预训练模型，扩充两倍
SegmTransformer,62,Tue Aug 15 18:50:34 2023,0,0,50000,50000,0h 5min 6.958972692489624second,27.60323133994475,0.7834577118673514,0.00199892970011599,0.046699144383619544,0.7518180769538269,0.7744798338113777,CircuitNet-28数集，tinyeh=20，加载生成数据预训练模型，扩充两倍
SegmTransformer,63,Tue Aug 15 23:23:18 2023,0,0,50000,50000,0h 9min 1.506035566329956second,27.33369845907691,0.7765281774269285,0.002382982432766901,0.048056155915400946,0.750387682903696,0.9367485167818682,CircuitNet-28数集，tinyeh=20，加载生成数据预训练模型，扩充两倍
SegmTransformer,65,Tue Aug 15 23:43:48 2023,0,0,50000,50000,0h 7min 6.300479173660278second,27.65286561964482,0.7871725761550695,0.0025009136133640063,0.04628813635261039,0.7522754537366155,0.7349208833526689,CircuitNet-28数集，tiny20，不加载生成数据预训练模型
SegmTransformer,64,Tue Aug 15 23:23:26 2023,0,0,50000,50000,0h 9min 3.052098035812378second,27.09945114420503,0.764734928509661,0.002182456018349012,0.05020408921778017,0.751875899644227,0.7706992308115481,CircuitNet-28数集，tiny20，不加载生成数据预训练模型
SegmTransformer,66,Mon Aug 21 17:36:49 2023,0,0,50000,50000,0h 5min 23.531898021697998second,27.665498929398424,0.7889672414071877,0.002263290880603525,0.04634306375161477,0.7462529288447725,0.8311528938842627,CircuitNet-28数集，tinyeh=20，加载生成数据预训练模型，扩充两倍
SegmTransformer,67,Mon Aug 21 20:31:44 2023,0,0,50000,50000,0h 5min 16.59494113922119second,27.482662812218127,0.780154369661802,0.0024574526718684603,0.04758030272675721,0.7373918847458873,0.9277191826750936,"CircuitNet-28数集，tinyeh=20，加载生成数据预训练模型，扩充两倍,lr=0.00005"
SegmTransformer,68,Mon Aug 21 21:03:10 2023,0,0,50000,50000,0h 7min 34.745434522628784second,27.687088455568535,0.7875563557256715,0.002667075011281087,0.046433213041025455,0.7428949660673396,0.7822677204246818,"CircuitNet-28数集，tiny20，不加载生成数据预训练模型,lr=0.0005"
